orf_name,KO number,R number
chr_7051,K01586,R00451
chr_7096,K11473,R00475; R00476
chr_7097,K11472,R00475; R00476
chr_7105,K00255,R01279; R03777; R03857; R03990; R04751; R04754
chr_7106,K01796,R08734; R08739; R13462
chr_7140,K16306,R01068; R01070; R02568; R08568
chr_7159,K00259,R00396
chr_7167,K00060,R01465
chr_7168,K00639,R00371
chr_7171,K01468,R02288
chr_7172,K05603,R02286
chr_7174,K01712,R02914
chr_7175,K01745,R01168
chr_7183,K00029,R00216
chr_7184,K01790,R06514
chr_7210,K00800,R03460
chr_7211,K06949,R00615; R02135
chr_7215,K00635,R02251; R13459
chr_7234,K01840,R01818
chr_7242,K11212,R09398; R12648
chr_7246,K00966,R00885
chr_7248,K16870,R10175; R12077
chr_7254,K00067,R02777
chr_7255,K01710,R06513
chr_7261,K01588,R07405
chr_7262,K01589,R07404
chr_7268,K05602,R03013
chr_7279,K08260,R05226
chr_7280,K01640,R01360; R08090
chr_7282,K03524,R01074; R05145
chr_7305,K00864,R00847
chr_7309,K01476,R00551
chr_7311,K00064,R07675; R08926
chr_7317,K18334,R03688
chr_7330,K22935,R01526
chr_7331,K20862,R00548; R07280
chr_7346,K03783,R01561; R01863; R01969; R02147; R02294; R02295; R02297; R02557; R02748; R08368; R10244
chr_7354,K00761,R00966
chr_7360,K00148,R00604
chr_7377,K01619,R01066
chr_7386,K01488,R01560; R02556
chr_7388,K00758,R01570; R02484; R08222; R08230
chr_7390,K01489,R01878; R02485; R08221
chr_7395,K00241,R02164
chr_7396,K00242,R02164
chr_7400,K07258,
chr_7409,K00529,R02000; R06782; R06783; R13327
chr_7439,K00031,R00267; R00268; R01899
chr_7457,K01491,R01220; R01655
chr_7469,K01438,R00669; R09107
chr_7476,K00602,R01127; R04560
chr_7477,K11175,R04325; R04326
chr_7480,K01902,R00405; R02404
chr_7481,K01903,R00405; R02404
chr_7493,K04093,R01715
chr_7494,K00019,R01361
chr_7513,K01951,R01230; R01231; R08244
chr_7514,K00088,R01130; R08240
chr_7533,K01466,R02425
chr_7534,K00865,R08572
chr_7535,K01608,R00013
chr_7536,K00042,R01745; R01747
chr_7537,K01816,R01394
chr_7541,K07127,R06601
chr_7542,K00365,R02106; R07981
chr_7548,K01638,R00472
chr_7553,K01775,R00401
chr_7565,K03431,R02060
chr_7657,K00812,R00355; R00694; R00734; R00896; R02433; R02619; R05052
chr_7667,K00973,R02328
chr_7673,K00343,R11945
chr_7674,K00342,R11945
chr_7675,K00341,R11945
chr_7676,K00340,R11945
chr_7677,K00339,R11945
chr_7678,K00338,R11945
chr_7679,K00337,R11945
chr_7680,K00336,R11945
chr_7681,K00335,R11945
chr_7682,K00334,R11945
chr_7683,K00333,R11945
chr_7684,K00332,R11945
chr_7685,K00331,R11945
chr_7686,K00330,R11945
chr_7692,K03183,R09736; R09737
chr_7698,K01851,R01717
chr_7700,K02551,R08165
chr_7701,K01661,R07263
chr_7702,K01911,R04030
chr_7703,K02548,R10757
chr_7715,K01845,R02272
chr_7723,K01698,R00036
chr_7730,K13542,R03165; R03194
chr_7731,K01749,R00084
chr_7732,K02492,R04109
chr_7744,K00286,R01248; R01251; R03291; R03293
chr_7753,K01834,R01518
chr_7765,K00075,R03191; R03192
chr_7780,K14267,R04475
chr_7790,K07816,R00429
chr_7799,K11410,R02661; R03172
chr_7800,K01968,R04138
chr_7801,K01969,R04138
chr_7912,K02619,R05553
chr_7918,K01933,R04208
chr_7919,K00764,R01072
chr_7928,K00054,R02081
chr_7941,K23269,R04463
chr_7942,K23265,R00256; R01579; R04463
chr_7943,K23264,R04463
chr_7949,K01923,R04591
chr_7951,K01756,R01083; R04559; R12851
chr_7961,K01620,R00751; R06171
chr_7968,K01945,R04144
chr_7972,K01939,R01135
chr_7978,K01624,R01068; R01070; R01829; R02568
chr_7982,K01443,R02059
chr_7987,K00762,R01870
chr_8020,K01494,R02325
chr_8058,K01240,R01080; R01273; R10046
chr_8081,K12960,R00193; R09660
chr_8174,K01858,R07324
chr_8198,K00232,R01175; R01279; R03777; R03857; R03990; R04751; R04754; R07888; R07892; R07896; R07934; R07950; R12356
chr_8218,K05825,R00369; R00372; R01939
