orf_name,Class D,Class C,Class B,Class A
chr_1897,"K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain",00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_1897,"K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain",00240 Pyrimidine metabolism,Nucleotide metabolism,Metabolism
chr_1897,"K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain",03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_1905,K01281  pepX; X-Pro dipeptidyl-peptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_1907,"K01784  galE, GALE; UDP-glucose 4-epimerase",00052 Galactose metabolism,Carbohydrate metabolism,Metabolism
chr_1907,"K01784  galE, GALE; UDP-glucose 4-epimerase",00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_1908,K00849  galK; galactokinase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_1908,K00849  galK; galactokinase,00052 Galactose metabolism,Carbohydrate metabolism,Metabolism
chr_1908,K00849  galK; galactokinase,04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1910,"K01011  TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_1910,"K01011  TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase",00920 Sulfur metabolism,Energy metabolism,Metabolism
chr_1910,"K01011  TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase",04122 Sulfur relay system,"Folding, sorting and degradation",Genetic Information Processing
chr_1911,K04768  acuC; acetoin utilization protein AcuC,99981 Carbohydrate metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_1915,K07112  K07112; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_1917,"K01676  E4.2.1.2A, fumA, fumB; fumarate hydratase, class I",00020 Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism
chr_1917,"K01676  E4.2.1.2A, fumA, fumB; fumarate hydratase, class I",00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_1917,"K01676  E4.2.1.2A, fumA, fumB; fumarate hydratase, class I",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_1918,K01104  E3.1.3.48; protein-tyrosine phosphatase,02020 Two-component system,Signal transduction,Environmental Information Processing
chr_1919,K03087  rpoS; RNA polymerase nonessential primary-like sigma factor,05111 Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes,Cellular Processes
chr_1919,K03087  rpoS; RNA polymerase nonessential primary-like sigma factor,02026 Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
chr_1919,K03087  rpoS; RNA polymerase nonessential primary-like sigma factor,03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_1920,"K07560  dtd, DTD; D-aminoacyl-tRNA deacylase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_1921,K00564  rsmC; 16S rRNA (guanine1207-N2)-methyltransferase,03009 Ribosome biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_1925,K07559  kptA; putative RNA 2'-phosphotransferase,03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_1931,K07058  K07058; membrane protein,99996 General function prediction only,Poorly characterized,Not Included in Pathway or Brite
chr_1937,K03086  rpoD; RNA polymerase primary sigma factor,03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_1938,K00886  ppgK; polyphosphate glucokinase,00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_1938,K00886  ppgK; polyphosphate glucokinase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_1939,"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase",00562 Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism
chr_1939,"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase",00521 Streptomycin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_1939,"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase",04070 Phosphatidylinositol signaling system,Signal transduction,Environmental Information Processing
chr_1943,"K01520  dut, DUT; dUTP pyrophosphatase",00240 Pyrimidine metabolism,Nucleotide metabolism,Metabolism
chr_1943,"K01520  dut, DUT; dUTP pyrophosphatase",00983 Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism,Metabolism
chr_1943,"K01520  dut, DUT; dUTP pyrophosphatase",03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_1949,K03926  cutA; periplasmic divalent cation tolerance protein,99994 Others,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_1950,"K03499  trkA, ktrA; trk system potassium uptake protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1951,"K03499  trkA, ktrA; trk system potassium uptake protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1953,K03215  rumA; 23S rRNA (uracil1939-C5)-methyltransferase,03009 Ribosome biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_1958,K01662  dxs; 1-deoxy-D-xylulose-5-phosphate synthase,00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_1958,K01662  dxs; 1-deoxy-D-xylulose-5-phosphate synthase,00900 Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_1959,"K11330  nrsR, rppA; two-component system, OmpR family, Ni(II)-responsive and/or redox-responsive regulator NrsR",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_1959,"K11330  nrsR, rppA; two-component system, OmpR family, Ni(II)-responsive and/or redox-responsive regulator NrsR",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1960,"K07642  baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_1960,"K07642  baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1960,"K07642  baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_1962,K07064  K07064; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_1963,K10527  MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_1963,K10527  MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,00592 alpha-Linolenic acid metabolism,Lipid metabolism,Metabolism
chr_1964,K07513  ACAA1; acetyl-CoA acyltransferase 1,00592 alpha-Linolenic acid metabolism,Lipid metabolism,Metabolism
chr_1964,K07513  ACAA1; acetyl-CoA acyltransferase 1,"00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_1964,K07513  ACAA1; acetyl-CoA acyltransferase 1,00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_1964,K07513  ACAA1; acetyl-CoA acyltransferase 1,01040 Biosynthesis of unsaturated fatty acids,Lipid metabolism,Metabolism
chr_1964,K07513  ACAA1; acetyl-CoA acyltransferase 1,04146 Peroxisome,Transport and catabolism,Cellular Processes
chr_1964,K07513  ACAA1; acetyl-CoA acyltransferase 1,03320 PPAR signaling pathway,Endocrine system,Organismal Systems
chr_1967,K03684  rnd; ribonuclease D,03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_1968,"K07686  uhpA; two-component system, NarL family, uhpT operon response regulator UhpA",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_1968,"K07686  uhpA; two-component system, NarL family, uhpT operon response regulator UhpA",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1970,"K01599  hemE, UROD; uroporphyrinogen decarboxylase",00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_1971,"K00231  PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase",00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_1972,K00435  hemQ; hydrogen peroxide-dependent heme synthase,00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_1980,K03710  K03710; GntR family transcriptional regulator,03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_1981,K07305  msrB; peptide-methionine (R)-S-oxide reductase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_1986,K11939  rhtA; inner membrane transporter RhtA,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_1987,"K00077  panE, apbA; 2-dehydropantoate 2-reductase",00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_1997,"K03088  rpoE; RNA polymerase sigma-70 factor, ECF subfamily",03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_1999,K06916  zapE; cell division protein ZapE,03036 Chromosome and associated proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2000,"K00819  rocD, OAT; ornithine--oxo-acid transaminase",00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_2000,"K00819  rocD, OAT; ornithine--oxo-acid transaminase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_2001,K07404  pgl; 6-phosphogluconolactonase,00030 Pentose phosphate pathway,Carbohydrate metabolism,Metabolism
chr_2004,K10441  rbsA; ribose transport system ATP-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2004,K10441  rbsA; ribose transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2005,K10440  rbsC; ribose transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2005,K10440  rbsC; ribose transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2006,K10439  rbsB; ribose transport system substrate-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2006,K10439  rbsB; ribose transport system substrate-binding protein,02030 Bacterial chemotaxis,Cell motility,Cellular Processes
chr_2006,K10439  rbsB; ribose transport system substrate-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2014,"K03564  BCP, PRXQ, DOT5; peroxiredoxin Q/BCP",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_2017,"K00074  paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2017,"K00074  paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2017,"K00074  paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_2021,K01563  dhaA; haloalkane dehalogenase,00625 Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2021,K01563  dhaA; haloalkane dehalogenase,00361 Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2026,"K00252  GCDH, gcdH; glutaryl-CoA dehydrogenase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2026,"K00252  GCDH, gcdH; glutaryl-CoA dehydrogenase",00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_2026,"K00252  GCDH, gcdH; glutaryl-CoA dehydrogenase",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2026,"K00252  GCDH, gcdH; glutaryl-CoA dehydrogenase",00310 Lysine degradation,Amino acid metabolism,Metabolism
chr_2027,"K01426  E3.5.1.4, amiE; amidase",00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_2027,"K01426  E3.5.1.4, amiE; amidase",00627 Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2027,"K01426  E3.5.1.4, amiE; amidase",00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_2027,"K01426  E3.5.1.4, amiE; amidase",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_2027,"K01426  E3.5.1.4, amiE; amidase",00643 Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2030,K00153  E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_2032,"K07778  desK; two-component system, NarL family, sensor histidine kinase DesK",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_2032,"K07778  desK; two-component system, NarL family, sensor histidine kinase DesK",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2032,"K07778  desK; two-component system, NarL family, sensor histidine kinase DesK",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_2033,"K02479  K02479; two-component system, NarL family, response regulator",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2034,K16044  iolW; scyllo-inositol 2-dehydrogenase (NADP+),00562 Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism
chr_2036,"K01621  xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase",00710 Carbon fixation in photosynthetic organisms,Energy metabolism,Metabolism
chr_2036,"K01621  xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase",00030 Pentose phosphate pathway,Carbohydrate metabolism,Metabolism
chr_2037,K00925  ackA; acetate kinase,00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_2037,K00925  ackA; acetate kinase,00430 Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism
chr_2037,K00925  ackA; acetate kinase,00680 Methane metabolism,Energy metabolism,Metabolism
chr_2037,K00925  ackA; acetate kinase,00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_2037,K00925  ackA; acetate kinase,00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2041,K02030  ABC.PA.S; polar amino acid transport system substrate-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2042,K02029  ABC.PA.P; polar amino acid transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2043,K02029  ABC.PA.P; polar amino acid transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2044,K02028  ABC.PA.A; polar amino acid transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2050,"K05913  E1.13.11.41; 2,4'-dihydroxyacetophenone dioxygenase",00363 Bisphenol degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2052,K01474  hyuB; N-methylhydantoinase B,00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_2053,K01473  hyuA; N-methylhydantoinase A,00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_2071,K22745  AIFM2; apoptosis-inducing factor 2,04115 p53 signaling pathway,Cell growth and death,Cellular Processes
chr_2078,K11531  lsrR; lsr operon transcriptional repressor,02026 Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
chr_2078,K11531  lsrR; lsr operon transcriptional repressor,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_2078,K11531  lsrR; lsr operon transcriptional repressor,03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2079,"K00008  SORD, gutB; L-iditol 2-dehydrogenase",00040 Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism
chr_2079,"K00008  SORD, gutB; L-iditol 2-dehydrogenase",00051 Fructose and mannose metabolism,Carbohydrate metabolism,Metabolism
chr_2080,"K10227  smoE, mtlE; sorbitol/mannitol transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2080,"K10227  smoE, mtlE; sorbitol/mannitol transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2081,"K10228  smoF, mtlF; sorbitol/mannitol transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2081,"K10228  smoF, mtlF; sorbitol/mannitol transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2082,"K10229  smoG, mtlG; sorbitol/mannitol transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2082,"K10229  smoG, mtlG; sorbitol/mannitol transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2090,K04123  KAO; ent-kaurenoic acid monooxygenase,00904 Diterpenoid biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_2090,K04123  KAO; ent-kaurenoic acid monooxygenase,00199 Cytochrome P450,Protein families: metabolism,Brite Hierarchies
chr_2097,"K16914  RIOX1, NO66; bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66",03009 Ribosome biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_2097,"K16914  RIOX1, NO66; bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66",03036 Chromosome and associated proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2098,K15342  cas1; CRISP-associated protein Cas1,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2098,K15342  cas1; CRISP-associated protein Cas1,02048 Prokaryotic defense system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2100,K03926  cutA; periplasmic divalent cation tolerance protein,99994 Others,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_2101,"K07695  devR; two-component system, NarL family, response regulator DevR",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_2101,"K07695  devR; two-component system, NarL family, response regulator DevR",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2105,K21689  rpfC; resuscitation-promoting factor RpfC,99986 Glycan metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_2108,K07506  K07506; AraC family transcriptional regulator,03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2110,K13993  HSP20; HSP20 family protein,04141 Protein processing in endoplasmic reticulum,"Folding, sorting and degradation",Genetic Information Processing
chr_2110,K13993  HSP20; HSP20 family protein,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",00020 Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04152 AMPK signaling pathway,Signal transduction,Environmental Information Processing
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04068 FoxO signaling pathway,Signal transduction,Environmental Information Processing
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04151 PI3K-Akt signaling pathway,Signal transduction,Environmental Information Processing
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",03320 PPAR signaling pathway,Endocrine system,Organismal Systems
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04910 Insulin signaling pathway,Endocrine system,Organismal Systems
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04922 Glucagon signaling pathway,Endocrine system,Organismal Systems
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04920 Adipocytokine signaling pathway,Endocrine system,Organismal Systems
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04964 Proximal tubule bicarbonate reclamation,Excretory system,Organismal Systems
chr_2122,"K01596  E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)",04931 Insulin resistance,Endocrine and metabolic disease,Human Diseases
chr_2141,K07284  srtA; sortase A,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_2141,K07284  srtA; sortase A,01011 Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism,Brite Hierarchies
chr_2147,K18277  tmm; trimethylamine monooxygenase,00680 Methane metabolism,Energy metabolism,Metabolism
chr_2148,"K15580  oppA, mppA; oligopeptide transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_2148,"K15580  oppA, mppA; oligopeptide transport system substrate-binding protein",02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_2148,"K15580  oppA, mppA; oligopeptide transport system substrate-binding protein",01501 beta-Lactam resistance,Drug resistance: antimicrobial,Human Diseases
chr_2148,"K15580  oppA, mppA; oligopeptide transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2149,K02033  ABC.PE.P; peptide/nickel transport system permease protein,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_2149,K02033  ABC.PE.P; peptide/nickel transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2150,K02034  ABC.PE.P1; peptide/nickel transport system permease protein,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_2150,K02034  ABC.PE.P1; peptide/nickel transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2157,"K03719  lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",03036 Chromosome and associated proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2157,"K03719  lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00310 Lysine degradation,Amino acid metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00903 Limonene and pinene degradation,Metabolism of terpenoids and polyketides,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00930 Caprolactam degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,"00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00281 Geraniol degradation,Metabolism of terpenoids and polyketides,Metabolism
chr_2158,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00900 Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00072 Synthesis and degradation of ketone bodies,Lipid metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00310 Lysine degradation,Amino acid metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase","00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_2159,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_2160,K00823  puuE; 4-aminobutyrate aminotransferase,00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2160,K00823  puuE; 4-aminobutyrate aminotransferase,00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_2160,K00823  puuE; 4-aminobutyrate aminotransferase,00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_2160,K00823  puuE; 4-aminobutyrate aminotransferase,"00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_2160,K00823  puuE; 4-aminobutyrate aminotransferase,01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),00310 Lysine degradation,Amino acid metabolism,Metabolism
chr_2164,K00128  ALDH; aldehyde dehydrogenase (NAD+),"00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
