Reaction ID,Reaction (Long),Reaction (Short),Reversible,Enzyme,Genes,PATHWAY
R02569,Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,C00024 + C15973 <=> C00010 + C16255,TRUE,2.3.1.12,chr_1795,rn00010;rn00020;rn00620;rn00785
R01210,3-Methyl-2-oxobutanoic acid + CoA + NAD+ <=> 2-Methylpropanoyl-CoA + CO2 + NADH + H+,C00141 + C00010 + C00003 <=> C00630 + C00011 + C00004 + C00080,TRUE,1.2.1.25,( chr_1796 and chr_3667 and chr_3668 and chr_4941 ),
R01221,"Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+",C00037 + C00101 + C00003 <=> C00143 + C00014 + C00011 + C00004 + C00080,FALSE,1.4.1.27,( chr_1796 and chr_4624 and chr_4628 and chr_6538 ),rn00630;rn00670
R01651,4-Methyl-2-oxopentanoate + CoA + NAD+ <=> 3-Methylbutanoyl-CoA + CO2 + NADH + H+,C00233 + C00010 + C00003 <=> C02939 + C00011 + C00004 + C00080,TRUE,1.2.1.25,( chr_1796 and chr_3667 and chr_3668 and chr_4941 ),
R01698,Dihydrolipoamide + NAD+ <=> Lipoamide + NADH + H+,C00579 + C00003 <=> C00248 + C00004 + C00080,TRUE,1.8.1.4,chr_1796,
R01933,2-Oxoadipate + CoA + NAD+ <=> Glutaryl-CoA + CO2 + NADH + H+,C00322 + C00010 + C00003 <=> C00527 + C00011 + C00004 + C00080,FALSE,1.2.1.-,chr_1796,rn00380
R03171,(S)-3-Methyl-2-oxopentanoic acid + CoA + NAD+ <=> (S)-2-Methylbutanoyl-CoA + CO2 + NADH + H+,C00671 + C00010 + C00003 <=> C15980 + C00011 + C00004 + C00080,TRUE,1.2.1.25,( chr_1796 and chr_3667 and chr_3668 and chr_4941 ),
R03815,Dihydrolipoylprotein + NAD+ <=> Lipoylprotein + NADH + H+,C02972 + C00003 <=> C02051 + C00004 + C00080,FALSE,1.8.1.4,chr_1796,rn00260;rn00785
R07618,Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+,C15973 + C00003 <=> C15972 + C00004 + C00080,TRUE,1.8.1.4,chr_1796,rn00010;rn00020;rn00280;rn00310;rn00620;rn00640;rn00785
R08549,2-Oxoglutarate + CoA + NAD+ <=> Succinyl-CoA + CO2 + NADH + H+,C00026 + C00010 + C00003 <=> C00091 + C00011 + C00004 + C00080,TRUE,1.2.1.105,chr_1796,
R01090,L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate,C00123 + C00026 <=> C00233 + C00025,TRUE,2.6.1.6;2.6.1.42;2.6.1.67,chr_1803,rn00280;rn00290;rn00966
R01214,L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate,C00183 + C00026 <=> C00141 + C00025,TRUE,2.6.1.6;2.6.1.42,chr_1803,rn00280;rn00290;rn00770;rn00966
R02199,L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate,C00407 + C00026 <=> C00671 + C00025,TRUE,2.6.1.42,chr_1803,rn00280;rn00290;rn00966
R08622,2-Oxo-5-methylthiopentanoic acid + L-Amino acid <=> Homomethionine + 2-Oxo acid,C17211 + C00151 <=> C17213 + C00161,TRUE,2.6.1.-,chr_1803,rn00966
R08626,2-Oxo-6-methylthiohexanoic acid + L-Amino acid <=> Dihomomethionine + 2-Oxo acid,C17216 + C00151 <=> C17217 + C00161,TRUE,2.6.1.-,chr_1803,rn00966
R10991,(S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate,C02356 + C00026 <=> C00109 + C00025,TRUE,2.6.1.42,chr_1803,rn00270
R05223,Cobamide coenzyme + GMP <=> Adenosine-GDP-cobinamide + alpha-Ribazole,C00194 + C00144 <=> C06510 + C05775,FALSE,2.7.8.26,chr_1804,rn00860
R11174,"Adenosine-GDP-cobinamide + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole <=> GMP + Adenosylcobalamin 5'-phosphate",C06510 + C04778 <=> C00144 + C21153,TRUE,2.7.8.26,chr_1804,
R04148,"Nicotinate D-ribonucleotide + Dimethylbenzimidazole <=> Nicotinate + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole + H+",C01185 + C03114 <=> C00253 + C04778 + C00080,FALSE,2.4.2.21,chr_1805,rn00860
R05221,Adenosyl cobinamide + ATP <=> Adenosyl cobinamide phosphate + ADP,C06508 + C00002 <=> C06509 + C00008,FALSE,2.7.1.156,chr_1806,rn00860
R05222,Adenosyl cobinamide phosphate + GTP <=> Adenosine-GDP-cobinamide + Diphosphate,C06509 + C00044 <=> C06510 + C00013,FALSE,2.7.7.62,chr_1806,rn00860
R06558,Adenosyl cobinamide + GTP <=> Adenosyl cobinamide phosphate + GDP,C06508 + C00044 <=> C06509 + C00035,FALSE,2.7.1.156,chr_1806,rn00860
R00185,ATP + Adenosine <=> ADP + AMP,C00002 + C00212 <=> C00008 + C00020,TRUE,2.7.1.20,chr_1812,rn00230
R02108,Starch + H2O <=> Dextrin + Starch,C00369 + C00001 <=> C00721 + C00369,TRUE,3.2.1.1,chr_1813,
R02112,Starch <=> Dextrin + Maltose,C00369 <=> C00721 + C00208,FALSE,3.2.1.1;3.2.1.2;3.2.1.133,chr_1813,rn00500
R11262,Maltodextrin + H2O <=> Maltose,C01935 + C00001 <=> C00208,FALSE,3.2.1.1;3.2.1.2;3.2.1.133,chr_1813,rn00500
R00650,S-Adenosyl-L-methionine + L-Homocysteine <=> S-Adenosyl-L-homocysteine + L-Methionine,C00019 + C00155 <=> C00021 + C00073,TRUE,2.1.1.10,chr_1816,
R11063,S-Methyl-L-methionine + L-Homocysteine <=> 2 L-Methionine,C03172 + C00155 <=> 2 C00073,FALSE,2.1.1.10,chr_1816,rn00270;rn00670
R01073,N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate <=> Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate,C04302 + C00013 <=> C00108 + C00119,TRUE,2.4.2.18,chr_1824,rn00400
R00390,ATP + Long-chain fatty acid + CoA <=> AMP + Diphosphate + Long-chain acyl-CoA,C00002 + C00638 + C00010 <=> C00020 + C00013 + C02843,FALSE,6.2.1.3,( chr_1836 and chr_3746 ),rn00061
R01280,ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate,C00002 + C00249 + C00010 <=> C00020 + C00154 + C00013,FALSE,6.2.1.3,( chr_1836 and chr_3746 ),rn00061;rn00071
R02241,Phosphatidate + CoA <=> 1-Acyl-sn-glycerol 3-phosphate + Acyl-CoA,C00416 + C00010 <=> C00681 + C00040,FALSE,2.3.1.51,chr_1844,rn00561;rn00564
R09381,Acyl-[acyl-carrier protein] + 1-Acyl-sn-glycerol 3-phosphate <=> Acyl-carrier protein + Phosphatidate,C00173 + C00681 <=> C00229 + C00416,TRUE,2.3.1.51,chr_1844,
R00756,"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",C00002 + C00085 <=> C00008 + C00354,FALSE,2.7.1.11,chr_1846,rn00010;rn00030;rn00051;rn00680
R03236,"D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP",C01097 + C00002 <=> C03785 + C00008,TRUE,2.7.1.11;2.7.1.56;2.7.1.144,chr_1846,rn00052
R03237,"CTP + D-Tagatose 6-phosphate <=> CDP + D-Tagatose 1,6-bisphosphate",C00063 + C01097 <=> C00112 + C03785,TRUE,2.7.1.11,chr_1846,rn00052
R03238,"UTP + D-Tagatose 6-phosphate <=> UDP + D-Tagatose 1,6-bisphosphate",C00075 + C01097 <=> C00015 + C03785,TRUE,2.7.1.11,chr_1846,rn00052
R03239,"ITP + D-Tagatose 6-phosphate <=> IDP + D-Tagatose 1,6-bisphosphate",C00081 + C01097 <=> C00104 + C03785,TRUE,2.7.1.11,chr_1846,rn00052
R04779,"ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate",C00002 + C05345 <=> C00008 + C05378,TRUE,2.7.1.11,chr_1846,
R07653,"4,4'-Diapophytoene + 3 FAD <=> 4,4'-Diaponeurosporene + 3 FADH2",C16144 + 3 C00016 <=> C16145 + 3 C01352,FALSE,1.3.8.2,chr_1858,rn00906
R09690,"4,4'-Diapophytoene + 4 FAD <=> 4,4'-Diapolycopene + 4 FADH2",C16144 + 4 C00016 <=> C19797 + 4 C01352,TRUE,1.3.8.2,chr_1858,
R09719,"4,4'-Diapophytoene + FAD <=> 4,4'-Diapophytofluene + FADH2",C16144 + C00016 <=> C19840 + C01352,TRUE,1.3.8.2,chr_1858,
R09744,"4,4'-Diapophytofluene + FAD <=> 4,4'-Diapo-zeta-carotene + FADH2",C19840 + C00016 <=> C19841 + C01352,TRUE,1.3.8.2,chr_1858,
R09745,"4,4'-Diapo-zeta-carotene + FAD <=> 4,4'-Diaponeurosporene + FADH2",C19841 + C00016 <=> C16145 + C01352,TRUE,1.3.8.2,chr_1858,
R09746,"4,4'-Diaponeurosporene + FAD <=> 4,4'-Diapolycopene + FADH2",C16145 + C00016 <=> C19797 + C01352,FALSE,1.3.8.2,chr_1858,rn00906
R07168,"5-Methyltetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NADH + H+",C00440 + C00003 <=> C00143 + C00004 + C00080,FALSE,1.5.1.20;1.5.1.54,chr_1860,rn00670;rn00720
R00470,4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate,C01127 <=> C00022 + C00048,TRUE,4.1.3.16;4.1.3.42,chr_1877,rn00630
R05605,2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate,C04442 <=> C00118 + C00022,TRUE,4.1.2.14;4.1.2.55,chr_1877,rn00030
R02036,6-Phospho-D-gluconate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate + H2O,C00345 <=> C04442 + C00001,FALSE,4.2.1.12,chr_1878,rn00030
R01122,Dimethylallyl diphosphate + tRNA adenine <=> Diphosphate + tRNA containing 6-isopentenyladenosine,C00235 + C17324 <=> C00013 + C04432,FALSE,2.5.1.75,chr_1889,rn00908
R02735,"LL-2,6-Diaminoheptanedioate <=> meso-2,6-Diaminoheptanedioate",C00666 <=> C00680,TRUE,5.1.1.7,chr_1890,rn00300;rn00470
R00291,UDP-glucose <=> UDP-alpha-D-galactose,C00029 <=> C00052,TRUE,5.1.3.2,chr_1907,rn00052;rn00520
R02984,dTDP-glucose <=> dTDP-galactose,C00842 <=> C02097,TRUE,5.1.3.2,chr_1907,
R01092,ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate,C00002 + C00984 <=> C00008 + C00446,FALSE,2.7.1.6,chr_1908,rn00052;rn00520
R01931,Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate,C00320 + C00177 <=> C00094 + C01755,FALSE,2.8.1.1,chr_1910,rn00920
R03105,Mercaptopyruvate + Thioredoxin <=> Hydrogen sulfide + Pyruvate + Thioredoxin disulfide,C00957 + C00342 <=> C00283 + C00022 + C00343,FALSE,2.8.1.2,chr_1910,rn00270
R02187,Polyphosphate + beta-D-Glucose <=> Polyphosphate + beta-D-Glucose 6-phosphate,C00404 + C00221 <=> C00404 + C01172,FALSE,2.7.1.63,chr_1938,rn00010
R02189,Polyphosphate + alpha-D-Glucose <=> Polyphosphate + alpha-D-Glucose 6-phosphate,C00404 + C00267 <=> C00404 + C00668,FALSE,2.7.1.63,chr_1938,rn00010;rn00520
R01185,Inositol 1-phosphate + H2O <=> myo-Inositol + Orthophosphate,C01177 + C00001 <=> C00137 + C00009,FALSE,3.1.3.25,chr_1939,rn00562
R01186,myo-Inositol 4-phosphate + H2O <=> myo-Inositol + Orthophosphate,C03546 + C00001 <=> C00137 + C00009,FALSE,3.1.3.25,chr_1939,rn00562
R01187,1D-myo-Inositol 3-phosphate + H2O <=> myo-Inositol + Orthophosphate,C04006 + C00001 <=> C00137 + C00009,FALSE,3.1.3.25,chr_1939,rn00521;rn00562
R02100,dUTP + H2O <=> dUMP + Diphosphate,C00460 + C00001 <=> C00365 + C00013,FALSE,3.6.1.23,chr_1943,rn00240
R11896,5-Fluorodeoxyuridine triphosphate + H2O <=> 5-Fluorodeoxyuridine monophosphate + Diphosphate,C21751 + C00001 <=> C04242 + C00013,FALSE,3.6.1.23,chr_1943,rn00983
R05636,Pyruvate + D-Glyceraldehyde 3-phosphate <=> 1-Deoxy-D-xylulose 5-phosphate + CO2,C00022 + C00118 <=> C11437 + C00011,FALSE,2.2.1.7,chr_1958,rn00730;rn00900
R01975,(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+,C01144 + C00003 <=> C00332 + C00004 + C00080,TRUE,1.1.1.35,( chr_1963 and chr_2158 ),rn00071;rn00310;rn00380;rn00650;rn00720
R03026,(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O,C01144 <=> C00877 + C00001,TRUE,4.2.1.17,( chr_1963 and chr_2158 and chr_2262 and chr_6957 ),rn00071;rn00310;rn00362;rn00380;rn00627;rn00650;rn00720
R04170,(S)-3-Hydroxydodecanoyl-CoA <=> 2-trans-Dodecenoyl-CoA + H2O,C05262 <=> C03221 + C00001,TRUE,4.2.1.17;4.2.1.74,( chr_1963 and chr_2158 and chr_6957 ),rn00062;rn00071
R04737,(S)-3-Hydroxyhexadecanoyl-CoA + NAD+ <=> 3-Oxopalmitoyl-CoA + NADH + H+,C05258 + C00003 <=> C05259 + C00004 + C00080,TRUE,1.1.1.35;1.1.1.211,( chr_1963 and chr_2158 ),rn00062;rn00071
R04738,(S)-3-Hydroxyhexadecanoyl-CoA <=> trans-Hexadec-2-enoyl-CoA + H2O,C05258 <=> C05272 + C00001,TRUE,4.2.1.17;4.2.1.74,( chr_1963 and chr_2158 and chr_6957 ),rn00062;rn00071
R04739,(S)-3-Hydroxytetradecanoyl-CoA + NAD+ <=> 3-Oxotetradecanoyl-CoA + NADH,C05260 + C00003 <=> C05261 + C00004,TRUE,1.1.1.35;1.1.1.211,( chr_1963 and chr_2158 ),rn00062;rn00071
R04740,(S)-3-Hydroxytetradecanoyl-CoA <=> trans-Tetradec-2-enoyl-CoA + H2O,C05260 <=> C05273 + C00001,TRUE,4.2.1.17;4.2.1.74,( chr_1963 and chr_2158 and chr_6957 ),rn00062;rn00071
R04741,(S)-3-Hydroxydodecanoyl-CoA + NAD+ <=> 3-Oxododecanoyl-CoA + NADH + H+,C05262 + C00003 <=> C05263 + C00004 + C00080,TRUE,1.1.1.35;1.1.1.211,( chr_1963 and chr_2158 ),rn00062;rn00071
R04743,(S)-Hydroxydecanoyl-CoA + NAD+ <=> 3-Oxodecanoyl-CoA + NADH + H+,C05264 + C00003 <=> C05265 + C00004 + C00080,TRUE,1.1.1.35;1.1.1.211,chr_1963,rn00062;rn00071
R04744,(S)-Hydroxydecanoyl-CoA <=> trans-Dec-2-enoyl-CoA + H2O,C05264 <=> C05275 + C00001,TRUE,4.2.1.17;4.2.1.74,( chr_1963 and chr_2158 and chr_6957 ),rn00062;rn00071
R04745,(S)-3-Hydroxyoctanoyl-CoA + NAD+ <=> 3-Oxooctanoyl-CoA + NADH + H+,C05266 + C00003 <=> C05267 + C00004 + C00080,TRUE,1.1.1.35;1.1.1.211,( chr_1963 and chr_2158 ),rn00062;rn00071
R04746,(S)-3-Hydroxyoctanoyl-CoA <=> trans-Oct-2-enoyl-CoA + H2O,C05266 <=> C05276 + C00001,TRUE,4.2.1.17;4.2.1.74,( chr_1963 and chr_2158 and chr_6957 ),rn00062;rn00071
R04748,(S)-Hydroxyhexanoyl-CoA + NAD+ <=> 3-Oxohexanoyl-CoA + NADH + H+,C05268 + C00003 <=> C05269 + C00004 + C00080,TRUE,1.1.1.35;1.1.1.211,( chr_1963 and chr_2158 ),rn00062;rn00071
R04749,(S)-Hydroxyhexanoyl-CoA <=> trans-Hex-2-enoyl-CoA + H2O,C05268 <=> C05271 + C00001,TRUE,4.2.1.17;4.2.1.74,( chr_1963 and chr_2158 and chr_6957 ),rn00062;rn00071
R07889,3-Hydroxy-OPC8-CoA <=> trans-2-Enoyl-OPC8-CoA + H2O,C16329 <=> C16328 + C00001,FALSE,4.2.1.17;4.2.1.74,chr_1963,rn00592
R07890,3-Hydroxy-OPC8-CoA + NAD+ <=> 3-Oxo-OPC8-CoA + NADH + H+,C16329 + C00003 <=> C16330 + C00004 + C00080,FALSE,1.1.1.35;1.1.1.211,chr_1963,rn00592
R07893,3-Hydroxy-OPC6-CoA <=> trans-2-Enoyl-OPC6-CoA + H2O,C16333 <=> C16332 + C00001,TRUE,4.2.1.17;4.2.1.74,chr_1963,rn00592
R07894,3-Hydroxy-OPC6-CoA + NAD+ <=> 3-Oxo-OPC6-CoA + NADH + H+,C16333 + C00003 <=> C16334 + C00004 + C00080,TRUE,1.1.1.35;1.1.1.211,chr_1963,rn00592
R07897,3-Hydroxy-OPC4-CoA <=> trans-2-Enoyl-OPC4-CoA + H2O,C16337 <=> C16336 + C00001,FALSE,4.2.1.17;4.2.1.74,chr_1963,rn00592
R07898,3-Hydroxy-OPC4-CoA + NAD+ <=> 3-Oxo-OPC4-CoA + NADH + H+,C16337 + C00003 <=> C16338 + C00004 + C00080,FALSE,1.1.1.35;1.1.1.211,chr_1963,rn00592
R00927,Propanoyl-CoA + Acetyl-CoA <=> CoA + 2-Methylacetoacetyl-CoA,C00100 + C00024 <=> C00010 + C03344,FALSE,2.3.1.9;2.3.1.16,chr_1964,rn00280
R03778,Octanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxodecanoyl-CoA,C01944 + C00024 <=> C00010 + C05265,FALSE,2.3.1.16,chr_1964,rn00062;rn00071
R03858,Lauroyl-CoA + Acetyl-CoA <=> CoA + 3-Oxotetradecanoyl-CoA,C01832 + C00024 <=> C00010 + C05261,FALSE,2.3.1.16,chr_1964,rn00062;rn00071
R03991,Tetradecanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxopalmitoyl-CoA,C02593 + C00024 <=> C00010 + C05259,FALSE,2.3.1.16;2.3.1.155,chr_1964,rn00062;rn00071
R04546,"Propanoyl-CoA + Chenodeoxycholoyl-CoA <=> CoA + 3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C00100 + C05337 <=> C00010 + C04644,TRUE,,chr_1964,
R04742,Decanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxododecanoyl-CoA,C05274 + C00024 <=> C00010 + C05263,FALSE,2.3.1.16,chr_1964,rn00062;rn00071
R04747,Hexanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxooctanoyl-CoA,C05270 + C00024 <=> C00010 + C05267,FALSE,2.3.1.16,chr_1964,rn00062;rn00071
R07891,OPC6-CoA + Acetyl-CoA <=> CoA + 3-Oxo-OPC8-CoA,C16331 + C00024 <=> C00010 + C16330,FALSE,2.3.1.16,chr_1964,rn00592
R07895,OPC4-CoA + Acetyl-CoA <=> CoA + 3-Oxo-OPC6-CoA,C16335 + C00024 <=> C00010 + C16334,FALSE,2.3.1.16,chr_1964,rn00592
R07899,(+)-7-Isojasmonic acid CoA + Acetyl-CoA <=> CoA + 3-Oxo-OPC4-CoA,C16339 + C00024 <=> C00010 + C16338,FALSE,2.3.1.16,chr_1964,rn00592
R07937,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA + Acetyl-CoA <=> CoA + (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA",C16169 + C00024 <=> C00010 + C16376,TRUE,2.3.1.16;2.3.1.176,chr_1964,rn01040
R07953,"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA + Acetyl-CoA <=> CoA + (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-CoA",C16173 + C00024 <=> C00010 + C16389,TRUE,2.3.1.16;2.3.1.176,chr_1964,rn01040
R03197,Uroporphyrinogen III <=> Coproporphyrinogen III + 4 CO2,C01051 <=> C03263 + 4 C00011,FALSE,4.1.1.37,chr_1970,rn00860
R04972,Uroporphyrinogen I <=> Coproporphyrinogen I + 4 CO2,C05766 <=> C05768 + 4 C00011,FALSE,4.1.1.37,chr_1970,rn00860
R03222,Protoporphyrinogen IX + 3 Oxygen <=> Protoporphyrin + 3 Hydrogen peroxide,C01079 + 3 C00007 <=> C02191 + 3 C00027,FALSE,1.3.3.4,chr_1971,rn00860
R04178,Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide,C03263 + 3 C00007 <=> C05770 + 3 C00027,FALSE,1.3.3.15,chr_1971,rn00860
R11522,Fe-coproporphyrin III + 2 Hydrogen peroxide <=> Heme + 2 CO2 + 4 H2O,C21284 + 2 C00027 <=> C00032 + 2 C00011 + 4 C00001,FALSE,1.3.98.5,chr_1972,rn00860
R02472,(R)-Pantoate + NADP+ <=> 2-Dehydropantoate + NADPH + H+,C00522 + C00006 <=> C00966 + C00005 + C00080,TRUE,1.1.1.169,chr_1987,rn00770
R00667,L-Ornithine + 2-Oxoglutarate <=> L-Glutamate 5-semialdehyde + L-Glutamate,C00077 + C00026 <=> C01165 + C00025,TRUE,2.6.1.13,chr_2000,rn00330
R02035,"D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate",C01236 + C00001 <=> C00345,FALSE,3.1.1.31,( chr_2001 and chr_6190 ),rn00030
R01976,(S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+,C01144 + C00006 <=> C00332 + C00005 + C00080,FALSE,1.1.1.157,chr_2017,rn00362;rn00650
R05576,3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+,C05116 + C00006 <=> C00332 + C00005 + C00080,TRUE,1.1.1.157,chr_2017,
R06941,(3S)-3-Hydroxyadipyl-CoA + NAD+ <=> 3-Oxoadipyl-CoA + NADH + H+,C14145 + C00003 <=> C02232 + C00004 + C00080,FALSE,1.1.1.35;1.1.1.157,( chr_2017 and chr_2158 ),rn00360;rn00930
R05284,"1,2-Dichloroethane + H2O <=> 2-Chloroethanol + Hydrochloric acid",C06752 + C00001 <=> C06753 + C01327,FALSE,3.8.1.5,chr_2021,rn00625
R05367,"trans-1,3-Dichloropropene + H2O <=> trans-3-Chloro-2-propene-1-ol + Hydrochloric acid",C06609 + C00001 <=> C06611 + C01327,FALSE,3.8.1.5,chr_2021,rn00625
R05368,"cis-1,3-Dichloropropene + H2O <=> cis-3-Chloro-2-propene-1-ol + Hydrochloric acid",C06610 + C00001 <=> C06612 + C01327,FALSE,3.8.1.5,chr_2021,rn00625
R05369,"1,3,4,6-Tetrachloro-1,4-cyclohexadiene + H2O <=> 2,4,5-Trichloro-2,5-cyclohexadiene-1-ol + Hydrochloric acid",C06597 + C00001 <=> C06598 + C01327,FALSE,3.8.1.5,chr_2021,rn00361
R05370,"2,4,5-Trichloro-2,5-cyclohexadiene-1-ol + H2O <=> 2,5-Dichloro-2,5-cyclohexadiene-1,4-diol + Hydrochloric acid",C06598 + C00001 <=> C06599 + C01327,FALSE,3.8.1.5,chr_2021,rn00361
R07669,"beta-1,2,3,4,5,6-Hexachlorocyclohexane + H2O <=> beta-2,3,4,5,6-Pentachlorocyclohexanol + Hydrochloric acid",C06988 + C00001 <=> C16181 + C01327,FALSE,3.8.1.5,chr_2021,rn00361
R07670,"beta-2,3,4,5,6-Pentachlorocyclohexanol + H2O <=> beta-2,3,5,6-Tetrachloro-1,4-cyclohexanediol + Hydrochloric acid",C16181 + C00001 <=> C16182 + C01327,FALSE,3.8.1.5,chr_2021,rn00361
R02487,Glutaryl-CoA + FAD <=> FADH2 + Crotonoyl-CoA + CO2,C00527 + C00016 <=> C01352 + C00877 + C00011,FALSE,1.3.8.6,chr_2026,rn00071
R02488,Glutaryl-CoA + Electron-transferring flavoprotein <=> Crotonoyl-CoA + Reduced electron-transferring flavoprotein + CO2,C00527 + C04253 <=> C00877 + C04570 + C00011,FALSE,1.3.8.6,chr_2026,rn00310;rn00362;rn00380
R10074,Glutaryl-CoA + Electron-transferring flavoprotein <=> Glutaconyl-1-CoA + Reduced electron-transferring flavoprotein,C00527 + C04253 <=> C02411 + C04570,TRUE,1.3.8.6,chr_2026,
R09954,"scyllo-Inositol + NADP+ <=> 2,4,6/3,5-Pentahydroxycyclohexanone + NADPH + H+",C06153 + C00006 <=> C00691 + C00005 + C00080,TRUE,1.1.1.371;1.1.1.-,chr_2034,rn00562
R00761,D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O,C00085 + C00009 <=> C00227 + C00279 + C00001,TRUE,4.1.2.22,chr_2036,
R01621,D-Xylulose 5-phosphate + Orthophosphate <=> Acetyl phosphate + D-Glyceraldehyde 3-phosphate + H2O,C00231 + C00009 <=> C00227 + C00118 + C00001,FALSE,4.1.2.9,chr_2036,rn00030
R00315,ATP + Acetate <=> ADP + Acetyl phosphate,C00002 + C00033 <=> C00008 + C00227,TRUE,2.7.2.1;2.7.2.15,chr_2037,rn00430;rn00620;rn00680;rn00720
R01353,ATP + Propanoate <=> ADP + Propanoyl phosphate,C00002 + C00163 <=> C00008 + C02876,TRUE,2.7.2.1;2.7.2.15,chr_2037,rn00640
R01305,4-Hydroxyphenacyl alcohol + Oxygen <=> 4-Hydroxybenzoate + Formate,C13635 + C00007 <=> C00156 + C00058,FALSE,1.13.11.41,chr_2050,rn00363
R03187,ATP + N-Methylhydantoin + 2 H2O <=> ADP + Orthophosphate + N-Carbamoylsarcosine,C00002 + C02565 + 2 C00001 <=> C00008 + C00009 + C01043,TRUE,3.5.2.14,( chr_2052 and chr_2053 ),rn00330
R00875,D-Sorbitol + NAD+ <=> D-Fructose + NADH + H+,C00794 + C00003 <=> C00095 + C00004 + C00080,TRUE,1.1.1.14;1.1.1.15,chr_2079,rn00051
R01896,Xylitol + NAD+ <=> D-Xylulose + NADH + H+,C00379 + C00003 <=> C00310 + C00004 + C00080,TRUE,1.1.1.9;1.1.1.14,chr_2079,rn00040
R06294,Kaur-16-en-18-oic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-7alpha-Hydroxykaur-16-en-19-oic acid + [Oxidized NADPH---hemoprotein reductase] + H2O,C11874 + C03024 + C00007 <=> C11875 + C03161 + C00001,FALSE,1.14.14.107,chr_2090,rn00904
R06295,ent-7alpha-Hydroxykaur-16-en-19-oic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Gibberellin A12 aldehyde + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,C11875 + C03024 + C00007 <=> C06093 + C03161 + 2 C00001,FALSE,1.14.14.107,chr_2090,rn00904
R06296,"ent-7alpha-Hydroxykaur-16-en-19-oic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 6beta,7beta-Dihydroxykaurenoic acid + [Oxidized NADPH---hemoprotein reductase] + H2O",C11875 + C03024 + C00007 <=> C11876 + C03161 + C00001,FALSE,1.14.14.107,chr_2090,rn00904
R06297,Gibberellin A12 aldehyde + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Gibberellin A12 + [Oxidized NADPH---hemoprotein reductase] + H2O,C06093 + C03024 + C00007 <=> C11857 + C03161 + C00001,FALSE,1.14.14.107,chr_2090,rn00904
